tipo_norma,nombre_norma,titulo_norma,inicio_vigencia,norma_superior,organismo (Ministerio),Organismo (nivel subsecretaria),materia,fase,id_norma_bcn,link
2,Decreto con Fuerza de Ley 237,Fuentes termales,28/05/1931,1,24,,4,1,98878,https://www.leychile.cl/Consulta/Navegar?idNorma=98878&idParte=0
1,Decreto 735,Reglamento de los servicios de agua destinados al consumo humano,19/12/1969,8,13,,5;8,1,197226,https://www.leychile.cl/Consulta/Navegar?idNorma=197226&idParte=0
2,Decreto con Fuerza de Ley 1122,Código de Aguas,29/10/1981,48,10,,1,1,5605,https://www.leychile.cl/Consulta/Navegar?idNorma=5605&idParte=0
2,Decreto con Fuerza de Ley 1123,Establece normas sobre ejecución de obras de riego por el Estado.,21/12/1981,48,10,,2;3,1,5606,https://www.leychile.cl/Consulta/Navegar?idNorma=5606&idParte=0
2,Decreto con Fuerza de Ley 7,Fija el texto refundido del Decreto Ley N° 1.172  de 1975  que creó la Comisión Nacional de Riego,24/08/1983,46;47;45,7,,9,1,3752,https://www.leychile.cl/Consulta/Navegar?idNorma=3752&idParte=0
1,Decreto 179,Fija el texto actualizado del Decreto Nº 795  de 1975  que aprobó el reglamento de la Comisión Nacional de Riego,16/08/1984,46;47;45;1,7,,9,1,10542,https://www.leychile.cl/Consulta/Navegar?idNorma=10542&idParte=0
3,Ley 18450,Aprueba normas para el fomento de la inversión privada en obras de riego y drenaje,30/10/1985,#null,15,,2;11,1,29855,https://www.leychile.cl/Consulta/Navegar?idNorma=29855&idParte=0
2,Decreto con Fuerza de Ley 70,Ley de Tarifas de los Servicios Sanitarios,30/12/1988,68;67,12,,5;7;10,1,4427,https://www.leychile.cl/Consulta/Navegar?idNorma=4427&idParte=0
3,Ley 18778,Establece subsidio al pago de consumo de agua potable y servicio de alcantarillado de aguas servidas,02/02/1989,#null,4,,10;4;5;7,1,30157,https://www.leychile.cl/Consulta/Navegar?idNorma=30157&idParte=0
2,Decreto con Fuerza de Ley 382,Ley General de Servicios Sanitarios,21/06/1989,67,12,,1;4;5;6;7,1,5545,https://www.leychile.cl/Consulta/Navegar?idNorma=5545&idParte=0
1,Decreto 453,Reglamento de la Ley de Tarifas de los Servicios Sanitarios,17/01/1990,10;1,7,27,10;5;6;7,1,98618,https://www.leychile.cl/Consulta/Navegar?idNorma=98618&idParte=0
3,Ley 18902,Crea la Superintendencia de Servicios Sanitarios,27/01/1990,#null,7,,6;9,1,30274,https://www.leychile.cl/Consulta/Navegar?idNorma=30274&idParte=0
1,Decreto 1,Reglamento para el control de la contaminación acuática,18/11/1992,31;32;33;35;34;15;37;1,3,,14,1,7232,https://www.leychile.cl/Consulta/Navegar?idNorma=7232&idParte=0
3,Ley 19300,Ley de bases generales del medio ambiente,09/03/1994,#null,5,,14,1,30667,https://www.leychile.cl/Consulta/Navegar?idNorma=30667&idParte=0
1,Decreto 285,Reglamenta el procedimiento para la aplicación del Decreto con Fuerza de Ley Nº 1.123  de 1984  sobre ejecución de obras de riego por el Estado,11/01/1995,1;45,12,,2;3;13;1,1,11938,https://www.leychile.cl/Consulta/Navegar?idNorma=11938&idParte=0
1,Decreto 106,Reglamento de aguas minerales,14/06/1997,39;8;44;1,13,,4;8,1,73577,https://www.leychile.cl/Consulta/Navegar?idNorma=73577&idParte=0
3,Ley 19525,Regula sistemas de evacuación y drenaje de aguas lluvias,10/11/1997,#null,12,,7;6,1,76725,https://www.leychile.cl/Consulta/Navegar?idNorma=76725&idParte=0
1,Decreto 195,Reglamento de la ley de subsidio al pago de consumo de agua potable y servicio de alcantarillado de aguas servidas,17/07/1998,59;41;42,4,,10;5;7,1,121229,https://www.leychile.cl/Consulta/Navegar?idNorma=121229&idParte=0
