institucion,id_institucion
Ministerio del Interior y Seguridad Pública,1
Ministerio de Relaciones Exteriores,2
Ministerio de Defensa Nacional,3
Ministerio de Hacienda,4
Ministerio Secretaría General de la Presidencia,5
Ministerio Secretaría General de Gobierno,6
"Ministerio de Economía, Fomento y Turismo",7
Ministerio de Desarrollo Social,8
Ministerio de Educación,9
Ministerio de Justicia y Derechos Humanos,10
Ministerio de Trabajo y Previsión Social,11
Ministerio de Obras Públicas,12
Ministerio de Salud,13
Ministerio de Vivienda y Urbanismo,14
Ministerio de Agricultura,15
Ministerio de Minería,16
Ministerio de Transportes y Telecomunicaciones,17
Ministerio de Bienes Nacionales,18
Ministerio de Energía,19
Ministerio del Medio Ambiente,20
Ministerio del Deporte,21
Ministerio de la Mujer y la Equidad de Género,22
Consejo Nacional de la Cultura y las Artes,23
Ministerio de Bienestar Social,24
Subsecretaría del Interior,25
Subsecretaría de Transporte,26
Subsecretaría de Economía,27
Subsecretaría de Pesca,28
Ministerio de Planificación,29
